time,Sensor1,Sensor2
23:57:46,1.15,6.15
23:57:47,1.15,6.15
23:57:48,1.15,6.15
23:57:49,1.16,6.16
23:57:50,1.16,6.16
23:57:51,1.15,6.15
23:57:52,1.15,6.15
23:57:53,1.15,6.15
23:57:54,1.12,6.12
23:57:55,1.15,6.15
23:57:56,1.15,6.15
23:57:57,1.15,6.15
23:57:58,1.16,6.16
23:57:59,1.12,6.12
23:58:00,1.6,6.6
23:58:03,1.97,6.97
23:58:03,1.97,6.97
23:58:03,1.97,6.97
23:58:04,1.99,6.99
23:58:05,2.01,7.01
23:58:06,2.01,7.01
23:58:07,2.02,7.02
23:58:08,2.04,7.04
23:58:09,2.05,7.05
23:58:10,2.06,7.06
23:58:13,2.01,7.01
23:58:13,2.01,7.01
23:58:14,2.02,7.02
23:58:15,1.99,6.99
23:58:16,2.01,7.01
23:58:17,2.02,7.02
23:58:18,2.1,7.1
23:58:19,2.02,7.02
23:58:20,2.01,7.01
23:58:21,2,7
23:58:22,1.95,6.95
23:58:23,1.94,6.94
23:58:24,1.96,6.96
23:58:25,1.96,6.96
23:58:26,1.94,6.94
23:58:27,1.94,6.94
23:58:28,1.95,6.95
23:58:29,1.91,6.91
23:58:30,1.87,6.87
23:58:31,1.85,6.85
23:58:32,1.82,6.82
23:58:33,1.79,6.79
23:58:34,1.81,6.81
23:58:35,1.78,6.78
23:58:36,1.77,6.77
23:58:37,1.79,6.79
23:58:39,1.82,6.82
23:58:40,1.8,6.8
23:58:41,1.82,6.82
23:58:42,1.77,6.77
23:58:43,1.77,6.77
23:58:45,1.77,6.77
23:58:46,1.75,6.75
23:58:47,1.74,6.74
23:58:48,1.74,6.74
23:58:51,1.73,6.73
23:58:51,1.73,6.73
23:58:52,1.73,6.73
23:58:53,1.73,6.73
23:58:54,1.73,6.73
23:58:56,1.72,6.72
23:58:57,1.72,6.72
23:58:59,1.72,6.72
23:59:00,1.72,6.72
23:59:01,1.71,6.71
23:59:03,1.69,6.69
23:59:04,1.72,6.72
23:59:06,1.71,6.71
23:59:07,1.71,6.71
23:59:09,1.7,6.7
23:59:10,1.7,6.7
23:59:11,1.7,6.7
23:59:13,1.7,6.7
23:59:15,1.71,6.71
23:59:16,1.7,6.7
23:59:18,1.73,6.73
23:59:19,1.7,6.7
23:59:20,1.7,6.7
23:59:23,1.7,6.7
23:59:23,1.69,6.69
23:59:25,1.69,6.69
23:59:27,1.69,6.69
23:59:28,1.69,6.69
23:59:30,1.69,6.69
23:59:31,1.69,6.69
23:59:32,1.69,6.69
23:59:34,1.7,6.7
23:59:35,1.69,6.69
23:59:37,1.69,6.69
23:59:38,1.69,6.69
23:59:40,1.69,6.69
23:59:41,1.69,6.69
23:59:43,1.68,6.68
23:59:43,1.69,6.69
23:59:45,1.69,6.69
23:59:47,1.69,6.69
23:59:48,1.69,6.69
23:59:50,1.68,6.68
23:59:52,1.68,6.68
23:59:54,1.68,6.68
23:59:56,1.68,6.68
23:59:57,1.68,6.68
23:59:59,1.68,6.68
00:00:01,1.67,6.67
00:00:02,1.68,6.68
00:00:05,1.68,6.68
00:00:07,1.68,6.68
00:00:07,1.68,6.68
00:00:08,1.68,6.68
00:00:09,1.68,6.68
00:00:12,1.68,6.68
00:00:12,1.68,6.68
00:00:14,1.68,6.68
00:00:16,1.68,6.68
00:00:17,1.67,6.67
00:00:19,1.68,6.68
00:00:20,1.68,6.68
00:00:23,1.67,6.67
